Name,Type,Values,Description,Notes
`DPI`,variable,number,Set default DPI. Unset to use default., 
`SETUPWIZARD`,variable,`0`,Force disable Setup Wizard. Unset to use default.,Currently this doesn't set any property but uses `pm disable` command instead. Which may not working.
`PC_MODE`,variable,`1`,Enable PC Mode. Unset to disable.,"Basically adding `android.hardware.type.pc` to the features list. Currently what it does is that:<br>- Enable hidden UI elements for Desktop (this is considered as WIP though). <br>- Allow Google Play Store  to recognize the device as Chromebooks, as explained by Google on [this page](https://developer.android.com/guide/topics/manifest/uses-feature-element#hw-features). Once you set it, reset Google Play Store data (or Log out of Aurora Store) to make it recognize this feaure."
`HPE_MODE`,variable,`1`,Enable HPE Mode. Unset to disable.,"Basically adding `com.google.android.play.feature.HPE_EXPERIENCE` to the features list. What it does is that it allow Google Play Store  to recognize the device as [Google Play Games for PC](https://play.google.com/googleplaygames/). Once you set it, reset Google Play Store data (or Log out of Aurora Store) to make it recognize this feaure."
`syscall_hardening`,variable,`off`,Disable x86 syscall hardening. Useful if you are using KernelSU. Unset to enable.,"**WARNING!!!:** As this option disable the new syscall hardening method on x86 CPUs, setting this option **is not considered safe**. You are taking risk of your device safety if this option is set!<br> There's a KernelSU issue on Github that is related to this option. If you are interested, or you think about a solution without this hack, [check it out](https://github.com/tiann/KernelSU/issues/2113s)"
