Name,Type,Values,Description,Notes
`CODEC2_LEVEL`,variable,"`0`, `1` (default), `2`,`3` and `4`",Set [debug.stagefright.ccodec](https://cs.android.com/search?q=debug.stagefright.ccodec) property for level of Codec2 ranking on codecs list.,Explanation of each values  can be seen in [Codec2InfoBuilder.cpp](https://github.com/BlissOS/platform_frameworks_av/blob/typhoon-x86/media/codec2/sfplugin/Codec2InfoBuilder.cpp#L400). Set `0` if you want to disable Codec2 to only use OMX.<br>**WARNING:** This option is deprecated and is being removed in BlissOS 16+.
`OMX_NO_YUV420`,variable,`1`,Disable YUV420 planar for all OMX codecs. Unset to re-enable YUV420 planar for OMX.,**WARNING:** This option is deprecated and is being removed in BlissOS 16+.
`FFMPEG_CODEC2_PREFER`,variable,`1`,Set FFMPEG Codec2 as default. Unset to disable.,**WARNING:** This option is deprecated and is being removed in BlissOS 16+.
`FFMPEG_CODEC2_DRM`,variable,`1`,Enable DRM Prime Handle on FFMPEG Codec2. Unset to disable.,Can be used to improve performance when using FFMPEG Codec2. Currently this option is considered WIP and can only being used on some hardware with `minigbm` gralloc used and supports YUV.
`FFMPEG_CODEC2_DEINTERLACE`,variable,"`auto` (default), `software` and `none`",Set FFMPEG Codec2 deinterlace mode.,Explanation can be seen in [this commit](https://github.com/android-generic/external_stagefright-plugins/commit/48e5d4e8c6e577c7f56c1da3aa90897444422d33).
`FFMPEG_CODEC2_DEINTERLACE_VAAPI`,variable,"`default` (default), `bob`, `weave`, `motion_adaptive` and `motion_compensated`",Set FFMPEG Codec2 deinterlace mode when using hw-accelerated video decoding.,Explanation can be seen in [this commit](https://github.com/android-generic/external_stagefright-plugins/commit/48e5d4e8c6e577c7f56c1da3aa90897444422d33).
`FFMPEG_OMX_CODEC`,variable,`1`,Enable FFMPEG OMX. Unset to disable.,**WARNING:** This option is deprecated and is being removed in BlissOS 16+.
`FFMPEG_CODEC_LOG`,variable,`1`,Enable logging for FFMPEG codecs. Unset to disable.,Can be used on both Codec2 & OMX.
`FFMPEG_HWACCEL_DISABLE`,variable,`1`,Disable hardware acceleration on FFMPEG codecs. Unset to re-enable.,Can be used on both Codec2 & OMX.
