Name,Type,Values,Description,Notes
`ROOT`,variable,"partition or partition identifier","Set root partition. Unset to auto-detect at boot.","- Partition is path to linux block device (e.g. `/dev/<device>` or `/dev/block/<device>`, both works).<br> - Partition identifier is UUID or label of the filesystem on partition (e.g. `UUID=<uuid>` or `LABEL=<label>`). <br>- Currently we do not support partition UUID (`PARTUUID`) or partition label (`PARTLABEL`)."
`androidboot.slot_suffix`,variable,"`_a`, `_b`","Set slot suffix for A/B mode.", Unset to disable A/B mode.
`androidboot.mode`,variable,"`normal` (default), `recovery`","Set boot mode.", 
`androidboot.bootctrl_bootcfg`,variable,"absolute path to file","Set boot configuration file path.  **Required for [AB-mode](../knowledgebase/pseudo-filesystem-table.md#special-mount-targets)**. The file path must be visible to Android system after booted (in both recovery and normal boot).","Common boot configuration file paths: <br>- `/boot/grub/android.cfg` (standalone installation with GRUB) <br>- `/boot/efi/EFI/rEFInd/android.conf` (for standalone installation with rEFInd Boot Manager) <br> - `/boot/ab.env.cfg` (for bootloader-less installation/dual-boot with Linux)<br><br>Note that `/boot` is bind-mounted with rootfs partition `/boot` folder by default, files and directories under `/boot` are visible to `/boot` folder of an uptime Android system (See [Special mount targets](../knowledgebase/pseudo-filesystem-table.md#special-mount-targets), row `bootloader`). You can get root permission using KernelSU and Termux to view the content of `/boot`."
